TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704007
Test Name:,Test 1
Start Date:,10/29/2021
Start Time:,11:50:00
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.014
,Minimum:,0.003
,Time of Minimum:,11:50:31
,Date of Minimum:,10/29/2021
,Maximum:,0.033
,Time of Maximum:,11:50:51
,Date of Maximum:,10/29/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,10/29/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
10/29/2021,11:50:01,0.026
10/29/2021,11:50:02,0.019
10/29/2021,11:50:03,0.011
10/29/2021,11:50:04,0.018
10/29/2021,11:50:05,0.014
10/29/2021,11:50:06,0.011
10/29/2021,11:50:07,0.022
10/29/2021,11:50:08,0.02
10/29/2021,11:50:09,0.012
10/29/2021,11:50:10,0.009
10/29/2021,11:50:11,0.014
10/29/2021,11:50:12,0.014
10/29/2021,11:50:13,0.011
10/29/2021,11:50:14,0.019
10/29/2021,11:50:15,0.016
10/29/2021,11:50:16,0.022
10/29/2021,11:50:17,0.013
10/29/2021,11:50:18,0.018
10/29/2021,11:50:19,0.014
10/29/2021,11:50:20,0.018
10/29/2021,11:50:21,0.024
10/29/2021,11:50:22,0.02
10/29/2021,11:50:23,0.016
10/29/2021,11:50:24,0.013
10/29/2021,11:50:25,0.012
10/29/2021,11:50:26,0.009
10/29/2021,11:50:27,0.005
10/29/2021,11:50:28,0.008
10/29/2021,11:50:29,0.011
10/29/2021,11:50:30,0.006
10/29/2021,11:50:31,0.003
10/29/2021,11:50:32,0.01
10/29/2021,11:50:33,0.008
10/29/2021,11:50:34,0.011
10/29/2021,11:50:35,0.013
10/29/2021,11:50:36,0.011
10/29/2021,11:50:37,0.014
10/29/2021,11:50:38,0.015
10/29/2021,11:50:39,0.021
10/29/2021,11:50:40,0.023
10/29/2021,11:50:41,0.023
10/29/2021,11:50:42,0.02
10/29/2021,11:50:43,0.017
10/29/2021,11:50:44,0.025
10/29/2021,11:50:45,0.011
10/29/2021,11:50:46,0.01
10/29/2021,11:50:47,0.012
10/29/2021,11:50:48,0.008
10/29/2021,11:50:49,0.015
10/29/2021,11:50:50,0.009
10/29/2021,11:50:51,0.033
10/29/2021,11:50:52,0.015
10/29/2021,11:50:53,0.009
10/29/2021,11:50:54,0.007
10/29/2021,11:50:55,0.009
10/29/2021,11:50:56,0.018
10/29/2021,11:50:57,0.007
10/29/2021,11:50:58,0.011
10/29/2021,11:50:59,0.007
10/29/2021,11:51:00,0.011

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704007
Test Name:,Test 2
Start Date:,10/29/2021
Start Time:,12:50:01
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.017
,Minimum:,0.003
,Time of Minimum:,12:50:57
,Date of Minimum:,10/29/2021
,Maximum:,0.059
,Time of Maximum:,12:50:44
,Date of Maximum:,10/29/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,10/29/2021
,Cal name:,Factory

Date,Time,Concentration
